,name,rating,reviwes,type,hq,old,employees
4,Akums Drugs & Pharmaceuticals,4.0,1.2k Reviews,19 years old,Delhi/NCR +26 more,19 years old,1k-5k Employees
5,Philips,3.9,1.2k Reviews,Forbes Global 2000,Amsterdam +77 more,93 years old,5k-10k Employees
6,Reliance General Insurance,3.8,1.2k Reviews,23 years old,Mumbai +160 more,23 years old,5k-10k Employees
7,Honeywell Automation,3.9,1.2k Reviews,Public,Morris Plains +55 more,117 years old,10k-50k Employees
8,PhonePe,4.1,1.2k Reviews,Indian Unicorn,Bangalore +171 more,8 years old,501-1k Employees
9,HERE Technologies,3.9,1.2k Reviews,38 years old,Eindhoven +11 more,38 years old,1k-5k Employees
10,SGS,4.0,1.2k Reviews,145 years old,Geneva +93 more,145 years old,Forbes Global 2000
11,Yamaha Motor,4.0,1.2k Reviews,Fortune India 500,Iwata +118 more,16 years old,1k-5k Employees
12,Hero FinCorp,4.2,1.2k Reviews,32 years old,Delhi +272 more,32 years old,5k-10k Employees
13,Quest Global,3.6,1.2k Reviews,Singapore +24 ,Singapore +24 more,26 years old,26 years old
14,BT Global Services,4.1,1.2k Reviews,23 years old,London +8 more,23 years old,1k-5k Employees
15,Crisil,3.8,1.2k Reviews,Public,Mumbai +46 more,36 years old,1k-5k Employees
16,Intellect Design Arena,4.0,1.2k Reviews,Public,Chennai +23 more,9 years old,1k-5k Employees
17,Novartis,4.1,1.2k Reviews,27 years old,Switzerland +59 more,27 years old,1k-5k Employees
18,Sigma Electric Manufacturing Corporation,4.0,1.2k Reviews,41 years old,Garner +15 more,41 years old,1k-5k Employees
19,Straive,3.6,1.2k Reviews,43 years old,Singapore +16 more,43 years old,1k-5k Employees
